Date,Currency_in_circulation_Total,Other_deposits_with_RBI,Bankers_deposits_with_RBI,Reserve_Money_(Liabilities/Components),RBIs_Claims_on_Government(net),RBIs_Claims_on_Central_Govt,RBIs_Claims_on_Banks_and_Commercial_sector,RBIs_Claims_on_Banks_(Including NABARD),RBIs_claims_on_Commercial_sector_(Excluding NABARD),Net_foreign_exchange_assets_of_RBI,Govts_currency_liabilities_to_the_public,Net_non_monetary_liabilities_of_RBI
14-09-2007,513758,5027,234376,753160,60418,61877,1474,91,1383,937770,8615,134282
21-09-2007,510903,5313,224347,740563,78985,79439,1568,185,1383,939485,8615,130121
28-09-2007,507667,5554,267959,781180,74426,75277,1466,83,1383,982840,8680,137380
05-10-2007,512544,5239,223688,741471,134974,135917,1383,0,1383,990937,8680,124555
12-10-2007,520548,4957,231763,757268,136711,136812,1383,0,1383,1008103,8680,124188
19-10-2007,526800,4972,234279,766052,141002,140980,1402,19,1383,1037234,8680,140262
26-10-2007,527022,4830,238095,769946,137066,137368,1383,0,1383,1035299,8755,138425
02-11-2007,532329,4860,240482,777671,137176,138334,1402,19,1383,1047482,8755,142792
09-11-2007,550619,5196,241318,797132,128888,130472,1389,6,1383,1061101,8755,145225
16-11-2007,551408,4830,268393,824631,109364,109348,2862,1154,1708,1065212,8755,142834
23-11-2007,547205,4757,240726,792688,142122,142103,1878,174,1704,1075467,8926,151462
30-11-2007,544237,5366,263886,813489,126815,126921,2089,415,1674,1083300,8926,154011
07-12-2007,550738,4712,259691,815141,125983,126194,1632,249,1383,1076554,8926,145989
14-12-2007,554017,4782,278065,836864,110456,110587,2849,1024,1824,1072621,8926,137076
21-12-2007,554449,4735,248590,807774,140213,140355,2314,842,1472,1077522,8992,140841
28-12-2007,553857,4984,272018,830859,119393,119921,3859,2307,1553,1085265,8992,147864
04-01-2008,556057,4883,244254,805194,149592,150278,1478,95,1383,1084577,8992,140261
11-01-2008,563306,4801,258875,826982,146349,146308,1493,110,1383,1105278,8992,142432
18-01-2008,566389,4733,267055,838177,155879,155679,5890,4319,1571,1117181,9051,138066
25-01-2008,563022,5031,269115,837168,160892,160877,3003,1620,1383,1134209,9051,148202
01-02-2008,561009,7260,308445,876714,128558,128517,2187,734,1453,1150271,9051,156237
08-02-2008,569888,4743,270197,844828,167867,168149,1400,17,1383,1148301,9051,146057
15-02-2008,574579,4684,250814,830077,178091,178084,1393,10,1383,1159543,9051,161818
22-02-2008,574806,4706,277868,857380,155554,155512,6732,4719,2013,1175609,9051,178457
29-02-2008,575434,4982,270106,850522,172322,172281,2500,797,1703,1200809,9137,189602
07-03-2008,585495,4815,282784,873094,150024,149983,2530,1147,1383,1227576,9137,216125
14-03-2008,590759,4818,268378,863955,161454,161412,1885,502,1383,1237462,9137,223076
21-03-2008,593602,4879,295730,894211,139020,138346,8574,6269,2305,1229994,9137,214474
28-03-2008,591279,5246,272526,869051,168235,168194,5879,4000,1879,1237717,9224,215534
04-04-2008,593693,6015,263234,862942,183608,183697,2264,838,1426,1244778,9224,209717
11-04-2008,606244,5321,262267,873832,172832,173751,1861,478,1383,1245575,9224,209996
18-04-2008,611690,6160,290669,908518,136217,137570,1876,493,1383,1250240,9224,216605
25-04-2008,610949,6157,271181,888286,160485,160915,1857,474,1383,1254863,9319,217267
02-05-2008,613284,6219,298267,917770,137939,137970,1850,467,1383,1268097,9319,223558
09-05-2008,622267,6126,286472,914866,140575,141151,1550,167,1383,1291011,9319,246440
16-05-2008,625864,6535,321958,954356,100147,100624,2572,1189,1383,1334885,9319,292272
23-05-2008,625079,6184,280639,911903,144323,144585,1549,166,1383,1349892,9385,304601
30-05-2008,622038,6685,327881,956604,100575,100534,4119,2684,1435,1337634,9385,293959
06-06-2008,627849,5043,299448,932340,124207,124165,1918,535,1383,1348200,9385,302957
13-06-2008,631067,4634,318909,954610,96460,96419,5419,3726,1693,1329365,9385,293099
20-06-2008,627660,4912,299115,931686,113222,113206,3020,1612,1408,1340058,9449,307619
27-06-2008,621983,5030,323739,950751,82860,82818,4625,3115,1510,1331638,9449,312101
04-07-2008,623597,5079,287874,916550,109022,108981,2919,1538,1381,1330041,9449,316837
11-07-2008,627875,5164,332997,966036,52666,52643,6656,5185,1471,1315942,9449,313344
18-07-2008,625843,5069,320967,951879,59096,59055,5506,4068,1438,1311675,9513,315719
25-07-2008,619817,4981,346104,970902,43889,43847,7064,5587,1478,1293203,9513,294990
01-08-2008,614661,5051,323136,942848,76573,76532,3671,2290,1381,1292171,9513,285934
08-08-2008,619111,5013,343408,967533,52996,52954,6114,4625,1489,1264130,9513,259229
15-08-2008,620140,4935,335543,960618,74109,74067,6984,5394,1590,1265886,9513,247657
22-08-2008,617810,4957,346810,969576,67250,67389,6352,4717,1635,1286560,9513,265600
29-08-2008,611328,5216,330875,947419,89230,89189,3469,2089,1381,1290944,9624,267389
05-09-2008,615548,4979,357921,978448,57376,57335,5181,3673,1507,1278741,9624,257723
12-09-2008,617293,4923,336184,958400,71788,72144,4148,2685,1463,1320981,9624,304566
19-09-2008,614954,5516,360766,981236,44244,44203,9960,8227,1733,1348018,9624,342122
26-09-2008,613144,5428,338334,956906,61862,61827,7983,6116,1867,1350396,9655,349267
03-10-2008,620904,5076,368694,994674,24362,24824,10521,8470,2051,1328969,9655,330110
10-10-2008,632022,4848,338254,975125,31276,31630,10237,8385,1852,1331156,9655,344647
17-10-2008,634027,5485,261654,901166,98013,99102,12265,10884,1381,1329530,9655,352270
24-10-2008,638579,5006,224171,867756,108911,109174,14173,12792,1381,1285908,9731,333145
31-10-2008,647935,5568,281596,935098,8173,9080,23932,21869,2062,1243182,9731,333573
07-11-2008,649655,6480,212663,868798,71456,72661,19999,18073,1926,1199569,9731,289046
14-11-2008,649798,6514,230579,886891,50874,52142,23181,21258,1923,1216039,9731,311186
21-11-2008,645632,4908,224258,874798,61506,61503,24590,23075,1514,1226827,9787,324900
28-11-2008,642241,5166,246439,893846,36167,36126,23841,22366,1475,1230173,9787,333788
05-12-2008,647991,4770,218802,871563,43873,44013,7409,6029,1381,1217548,9787,319309
12-12-2008,653648,5042,231552,890242,26269,26550,9986,8605,1381,1216602,9787,319864
19-12-2008,651421,12463,222561,886445,31632,31895,13014,11634,1381,1194060,9841,298839
26-12-2008,651086,4848,232509,888443,35142,35101,15616,13535,2081,1216622,9841,318494
02-01-2009,648453,5632,210474,864559,56450,56468,9709,7308,2401,1243168,9841,341710
09-01-2009,657497,5319,236269,899085,18267,18680,8346,5946,2401,1241664,9841,342500
16-01-2009,662907,5198,225420,893525,28137,28495,11935,8935,3001,1225451,9841,325566
23-01-2009,660087,5226,206808,872121,49189,49453,10626,6527,4099,1213308,9841,312465
30-01-2009,659143,6547,208748,874438,46952,47690,10659,6261,4399,1214580,9917,313767
06-02-2009,668437,4901,212142,885480,35907,35866,9205,3992,5214,1221890,9917,319626
13-02-2009,675958,6875,212613,895447,29814,29773,13451,7702,5749,1212690,9917,310798
20-02-2009,676858,5403,230123,912384,12488,12447,13741,7093,6649,1239028,9917,337814
27-02-2009,675228,5936,206512,887675,39791,39992,13954,7113,6841,1260413,9984,356885
06-03-2009,684793,4942,217937,907672,9618,10639,10592,2890,7703,1268795,9984,372081
13-03-2009,693982,6678,213474,914134,3278,3237,16095,7992,8103,1279969,9984,388637
20-03-2009,692071,4821,231531,928423,13096,13137,23643,13810,9834,1270261,9984,388562
27-03-2009,691112,4974,251165,947251,32845,33890,22862,11728,11134,1271708,10054,390218
03-04-2009,691450,9291,228722,929462,13179,12256,20194,6555,13640,1280349,10054,394314
10-04-2009,706009,10383,193452,909843,8967,10183,20348,6978,13370,1259951,10054,371544
17-04-2009,714056,5457,222750,942263,31803,31844,14950,1980,12970,1252527,10054,367072
24-04-2009,714422,9680,236251,960354,51150,50460,15948,2912,13036,1261210,10121,378075
01-05-2009,716922,5475,250602,972999,72796,71737,14485,1840,12646,1260334,10121,384737
08-05-2009,726061,6822,207243,940126,42490,43162,12789,10,12779,1256653,10121,381927
15-05-2009,728833,4842,226712,960388,65748,65789,13103,58,13045,1255369,10121,383953
22-05-2009,724621,4687,228434,957743,57275,57316,15355,2360,12995,1228040,10212,353138
29-05-2009,719551,6253,229423,955227,61128,61170,13697,420,13277,1235711,10212,365521
05-06-2009,723809,7254,227907,958970,60134,60175,14360,1719,12641,1225300,10212,351035
12-06-2009,725337,4694,237456,967488,68874,68821,12941,420,12521,1245095,10212,369633
19-06-2009,720845,9581,218611,949037,50435,50264,14555,1810,12745,1263360,10308,389620
26-06-2009,714622,4963,219711,939297,43593,43634,11665,410,11255,1277461,10308,403730
03-07-2009,712882,4328,210201,927411,24502,24261,12904,675,12229,1264309,10308,384611
10-07-2009,716769,4209,221428,942405,40143,40184,12273,465,11808,1279346,10308,399665
17-07-2009,714678,4021,226218,944917,41940,41982,12398,465,11933,1290372,10308,410102
24-07-2009,708993,4756,228583,942331,39584,39543,11880,296,11584,1289808,10308,409249
31-07-2009,703825,4216,223209,931250,27846,27887,11952,296,11656,1302953,10416,421918
07-08-2009,713218,3937,226989,944144,43066,43108,11265,566,10699,1293158,10416,413761
14-08-2009,714418,4763,213247,932429,6410,6440,10359,0,10359,1302826,10416,397582
21-08-2009,710690,3850,240877,955417,30375,30250,9884,0,9884,1319584,10416,414842
28-08-2009,706562,5405,224104,936071,10151,10102,10176,0,10176,1320950,10504,415711
04-09-2009,710955,4035,222727,937716,4755,4548,9266,0,9266,1328480,10504,415290
11-09-2009,716404,14960,240451,971815,41861,41260,9726,0,9726,1332623,10504,422900
18-09-2009,719013,14230,221607,954850,27357,26388,8552,0,8552,1322876,10504,414441
25-09-2009,721926,4038,239290,965254,35482,35296,10807,0,10807,1313480,10610,405126
02-10-2009,721768,3708,261165,986642,54709,54750,12397,20,12377,1311674,10610,402748
09-10-2009,729324,4399,202117,935841,5365,5407,8002,20,7982,1282675,10610,370812
16-10-2009,744628,5939,260301,1010868,84733,85884,6657,20,6637,1290255,10610,381387
23-10-2009,743693,3973,222880,970546,43722,43252,6511,20,6491,1297170,10731,387588
30-10-2009,736715,3739,256271,996725,69739,69611,6054,20,6034,1304610,10731,394409
06-11-2009,744389,4827,233786,983001,51209,51034,5061,20,5041,1309814,10731,393813
13-11-2009,751301,3673,240360,995334,64829,64524,5166,0,5166,1305830,10731,391222
20-11-2009,751559,4784,246853,1003196,72328,71301,5396,0,5396,1303154,10828,388510
27-11-2009,752055,4755,242780,999590,67640,67722,5415,0,5415,1311853,10828,396147
04-12-2009,758349,3659,243202,1005210,72122,72163,4994,0,4994,1299365,10828,382099
11-12-2009,766105,3618,234285,1004008,71682,71723,4453,20,4433,1299198,10828,382152
18-12-2009,767368,4956,244746,1017070,86910,86893,4881,163,4718,1298373,10919,384013
25-12-2009,765506,3555,262019,1031080,101284,101241,4922,0,4922,1295424,10919,381469
01-01-2010,761216,3713,216080,981009,45554,45596,6525,190,6335,1293061,10919,375050
08-01-2010,770420,3848,237383,1011652,75792,75830,6366,390,5976,1274590,10919,356015
15-01-2010,777450,3770,244722,1025942,91433,91400,5431,390,5041,1275109,10919,356950
22-01-2010,775583,3591,250178,1029352,95135,95029,5527,0,5527,1278075,10919,360304
29-01-2010,772675,4292,248677,1025644,90212,89476,5468,0,5468,1273613,11054,354703
05-02-2010,778986,3493,236075,1018554,80043,79568,6214,0,6214,1268304,11054,347061
12-02-2010,785681,3498,263598,1052777,117441,116741,4906,0,4906,1268183,11054,348807
19-02-2010,786520,3527,275759,1065805,131560,131329,4899,270,4629,1266144,11054,347851
26-02-2010,786208,3664,296578,1086451,151876,152788,4953,240,4713,1258181,11168,339727
05-03-2010,794623,3626,279400,1077649,139319,139019,4761,95,4666,1247108,11168,324706
12-03-2010,801752,3522,295032,1100306,162603,161603,5870,95,5775,1244391,11168,323726
19-03-2010,802382,4251,299410,1106043,171672,171389,5372,35,5337,1238447,11168,320615
26-03-2010,801493,5554,298504,1105551,170892,170376,4564,42,4522,1229947,11270,311123
02-04-2010,798522,3947,354883,1157352,221925,221831,2497,1169,1328,1232145,11270,310484
09-04-2010,815205,4130,252952,1072287,131527,128750,1328,0,1328,1216141,11270,287978
16-04-2010,827269,3832,302581,1133682,197544,197426,1328,0,1328,1219849,11270,296309
23-04-2010,829150,3592,294715,1127457,189716,189236,1328,0,1328,1218613,11401,293601
30-04-2010,831603,3964,330382,1165950,229449,228837,1328,0,1328,1215678,11401,291906
07-05-2010,844787,3667,311960,1160414,214461,213907,1328,0,1328,1229710,11401,296486
14-05-2010,853858,3658,311801,1169317,223298,223339,1328,0,1328,1204654,11401,271364
21-05-2010,855977,3793,299597,1159367,212485,212526,1328,0,1328,1250887,11508,316840
28-05-2010,854189,3947,328984,1187120,242180,241964,1328,0,1328,1234287,11508,302183
04-06-2010,857881,3612,294734,1156227,213813,213855,1463,135,1328,1237364,11508,307922
11-06-2010,864269,3693,320874,1188837,244694,244735,4055,2642,1414,1248958,11508,320378
18-06-2010,864450,3078,303257,1170785,227382,227388,3348,1870,1478,1246565,11625,318134
25-06-2010,858454,2954,326444,1187852,244790,244751,3851,2373,1478,1261305,11625,333719
02-07-2010,854173,3671,310675,1168519,223244,223285,3773,2198,1575,1270793,11625,340915
09-07-2010,861654,3580,312423,1177657,232452,232494,4280,2705,1575,1277885,11625,348585
16-07-2010,861933,3546,307768,1173246,226719,226760,4332,2757,1575,1290427,11625,359857
23-07-2010,855612,3335,334537,1193484,247744,247785,4847,3271,1575,1300421,11625,371153
30-07-2010,847977,4441,318373,1170791,222635,222676,3367,2041,1325,1291937,11761,358909
06-08-2010,853481,4444,313880,1171804,221837,221878,2605,1280,1325,1292185,11761,356584
13-08-2010,858573,4199,313420,1176192,209123,209164,2457,1132,1325,1285913,11761,333063
20-08-2010,858987,4188,329282,1192458,225603,225447,2453,1128,1325,1284881,11761,332241
27-08-2010,856867,3980,314921,1175768,207611,207291,2220,895,1325,1293375,11886,339324
03-09-2010,857226,3989,314190,1175405,205521,205491,2263,938,1325,1301228,11886,345494
10-09-2010,868794,3850,336351,1208994,242093,242213,2202,877,1325,1294589,11886,341776
17-09-2010,867753,4503,308671,1180926,215595,215292,2427,1101,1325,1293990,11886,342972
24-09-2010,860684,4030,309738,1174452,206761,206802,3671,2346,1325,1299987,12000,347967
01-10-2010,853317,4200,341563,1199080,228394,228320,7087,5761,1325,1284013,12000,332413
08-10-2010,866034,4619,293745,1164398,194702,193452,3920,2595,1325,1283081,12000,329304
15-10-2010,878108,3952,345111,1227170,260744,259080,5495,4018,1477,1276251,12000,327320
22-10-2010,876680,3972,292982,1173634,205651,203643,5631,4154,1477,1283421,12152,333221
29-10-2010,874043,4642,368272,1246958,279014,277617,7214,5642,1572,1296151,12152,347573
05-11-2010,898485,4255,330027,1232767,263241,261592,5509,3937,1572,1299944,12152,348080
12-11-2010,909074,3784,351478,1264336,291560,289661,7380,5808,1572,1300633,12152,347389
19-11-2010,909229,3536,319110,1231875,259513,258095,6085,4513,1572,1315913,12254,361891
26-11-2010,901542,5075,329974,1236591,264491,263290,6278,4653,1626,1310919,12254,357351
03-12-2010,903307,4259,321570,1229136,256018,256059,5082,3457,1626,1307919,12254,352136
10-12-2010,912072,3923,337909,1253904,282396,282437,5426,3801,1626,1306970,12254,353141
17-12-2010,913202,3344,326439,1242985,270795,270930,5916,4291,1626,1307849,12254,353829
24-12-2010,910426,2975,337639,1251040,277242,277183,5993,4368,1626,1305663,12254,350111
31-12-2010,906972,3571,331260,1241804,263952,263994,6703,5078,1626,1301870,12373,343095
07-01-2011,916432,3081,330293,1249806,271509,271550,5342,3964,1379,1302115,12373,341533
14-01-2011,926817,2909,326982,1256708,279284,278867,4742,3364,1379,1315239,12373,354931
21-01-2011,926883,13059,347437,1287380,310720,309909,6617,5239,1379,1333661,12373,375992
28-01-2011,924992,13330,309020,1247342,269302,268593,5793,4468,1325,1333507,12479,373738
04-02-2011,929881,3035,335098,1268013,287815,286782,5612,4287,1325,1334484,12479,372376
11-02-2011,941887,3086,332629,1277602,299431,297487,4683,3113,1570,1334491,12479,373482
18-02-2011,945803,3174,344935,1293912,316425,315151,5002,3432,1570,1327647,12479,367641
25-02-2011,941370,3582,334568,1279520,300211,299053,4996,3426,1570,1333269,12586,371542
04-03-2011,946256,3125,340890,1290272,309525,307534,6025,4455,1570,1329216,12586,367080
11-03-2011,955522,4456,332358,1292336,313073,311364,5673,4103,1570,1332039,12586,371035
18-03-2011,957648,3207,359309,1320164,342212,341731,8883,7312,1570,1335387,12586,378905
25-03-2011,954832,3485,337941,1296257,316389,315701,6866,5105,1760,1323199,12724,362921
01-04-2011,946452,3895,427405,1377752,396368,395801,7324,5159,2164,1331646,12724,370309
08-04-2011,965414,1765,296031,1263210,278111,276366,2420,1095,1325,1326578,12724,356623
15-04-2011,981122,1881,375163,1358165,375768,373248,3496,1947,1549,1338535,12724,372357
22-04-2011,983043,3305,359883,1346231,365280,364705,2504,1179,1325,1340176,12834,374564
29-04-2011,981781,3145,373032,1357959,377605,376032,3785,2189,1595,1358371,12834,394636
06-05-2011,994669,2942,350650,1348261,367235,367154,3181,1586,1595,1352132,12834,387121
13-05-2011,1002266,3484,380953,1386703,406803,406042,4330,2735,1595,1346861,12834,384126
20-05-2011,1000505,2977,358534,1362016,380487,379697,4260,2665,1595,1352171,12960,387863
27-05-2011,994377,3424,371568,1369369,387268,387094,5641,4046,1595,1367495,12960,403995
03-06-2011,996009,3803,357321,1357133,372396,371245,3635,1945,1690,1370824,12960,402683
10-06-2011,1003619,3124,369755,1376498,393328,393371,3901,1955,1946,1356449,12960,390141
17-06-2011,1000881,1934,354396,1357211,376109,375615,4192,2094,2098,1362748,12246,398084
24-06-2011,991769,1965,375955,1369689,388196,388177,4923,2825,2098,1356210,12246,391886
01-07-2011,981507,2926,401067,1385500,404247,404213,3842,1747,2095,1379060,12246,413895
08-07-2011,989504,1159,339319,1329982,343404,343199,4264,2762,1502,1363366,12246,393297
15-07-2011,991116,1190,368811,1361117,375423,374836,5394,3987,1407,1368508,12246,400454
22-07-2011,984264,1221,365621,1351106,366477,366472,4918,3119,1799,1374150,12246,406685
29-07-2011,975519,1378,379679,1356576,372134,372159,4196,2396,1799,1376726,12362,408841
05-08-2011,982395,1119,364962,1348476,362008,361713,4220,2421,1799,1386809,12362,416924
12-08-2011,989399,1088,377737,1368223,370087,369904,2832,1121,1711,1400070,12362,417127
19-08-2011,989543,1170,380789,1371502,371745,371775,4154,2316,1839,1414108,12362,430868
26-08-2011,983063,2766,382215,1368043,368132,367741,3581,1743,1839,1431016,12478,447164
02-09-2011,986466,2841,387026,1376333,375435,375189,4996,3158,1839,1439044,12478,455620
09-09-2011,991494,2531,380717,1374742,377149,377191,2296,824,1472,1433371,12478,450552
16-09-2011,990023,2284,381876,1374183,378828,378660,3636,2043,1593,1465573,12478,486332
23-09-2011,982143,2314,370213,1354670,356660,356252,4485,2702,1783,1507733,12481,526688
30-09-2011,975487,2513,423286,1401287,406753,406190,6120,3990,2130,1491114,12481,515180
07-10-2011,992909,2339,345812,1341060,342125,342007,4651,3328,1323,1500659,12481,518856
14-10-2011,994444,1213,388317,1383974,385246,384836,6583,4705,1878,1524192,12481,544529
21-10-2011,996822,1142,390680,1388644,394737,394346,2980,1102,1878,1556705,12784,578561
28-10-2011,1011612,1393,371661,1384666,391984,391681,5657,3779,1878,1530768,12784,556526
04-11-2011,1011732,1290,361695,1374717,380178,380167,2196,874,1323,1510366,12784,530807
11-11-2011,1021651,1152,407896,1430699,437123,436417,6298,4390,1908,1542632,12784,568138
18-11-2011,1021018,1159,378660,1400837,416903,415623,5165,3257,1908,1543334,12886,577451
25-11-2011,1015153,1353,392244,1408751,423184,423136,7868,5870,1998,1543975,12886,579163
02-12-2011,1014250,2649,369131,1386030,407242,406053,4010,2273,1737,1543372,12886,581481
09-12-2011,1027711,1125,388548,1417384,434696,434448,8004,6006,1998,1567027,12886,605229
16-12-2011,1030865,1166,370258,1402289,438037,437711,5826,3828,1998,1558133,12886,612593
23-12-2011,1025807,2278,428940,1457025,502863,502526,9548,7550,1998,1548813,12886,617086
30-12-2011,1019800,2227,371403,1393431,450060,450061,9176,5910,3266,1544457,13042,623303
06-01-2012,1027107,2288,382780,1412175,480250,479395,6545,3555,2990,1515069,13042,602731
13-01-2012,1038738,2078,378494,1419309,493355,493180,7931,4769,3162,1474754,13042,569773
20-01-2012,1039289,2025,409611,1450925,531122,530639,12413,9156,3257,1449790,13042,555442
27-01-2012,1037731,2660,389247,1429638,518397,518352,12550,9293,3257,1435167,13156,549632
03-02-2012,1041077,1050,365353,1407480,499562,499512,11706,8326,3380,1406690,13156,523635
10-02-2012,1054716,2150,345313,1402179,499265,499307,7597,4217,3380,1422544,13156,540383
17-02-2012,1059551,2138,375430,1437119,534546,534290,11581,8176,3405,1411802,13156,533966
24-02-2012,1056645,1092,331176,1388913,488369,488298,8952,5524,3427,1415854,13276,537538
02-03-2012,1057225,3294,380066,1440585,543596,543638,8429,4965,3463,1421455,13276,546170
09-03-2012,1072644,2056,330950,1405650,505205,505247,10918,6974,3944,1433795,13276,557543
16-03-2012,1074286,1211,315242,1390740,492257,492245,10915,6948,3967,1445891,13276,571599
23-03-2012,1071947,1562,340853,1414362,517103,517987,12755,8788,3967,1462786,13444,591726
30-03-2012,1069273,2112,364834,1436218,541285,541099,10318,6358,3960,1472195,13444,601024
06-04-2012,1077772,2641,306196,1386609,484980,484403,8536,4776,3760,1462085,13444,582437
13-04-2012,1102928,1390,312359,1416677,518058,516923,7213,3442,3771,1472265,13444,594303
20-04-2012,1108232,1559,336243,1446034,549392,547856,7467,3968,3499,1494868,13570,619263
27-04-2012,1106368,1735,341717,1449819,551468,551304,11560,7848,3712,1516488,13570,643266
04-05-2012,1115052,1790,306825,1423666,524702,524428,8360,4571,3789,1535756,13570,658722
11-05-2012,1126826,1580,339773,1468179,569466,569471,11987,7982,4005,1526549,13570,653393
18-05-2012,1127050,1423,324719,1453192,554877,554843,11287,7496,3791,1549045,13714,675731
25-05-2012,1122376,1591,333042,1457009,559786,559687,10774,6983,3791,1561337,13714,688602
01-06-2012,1119847,1501,317145,1438493,538958,539001,12262,6664,5597,1563397,13714,689838
08-06-2012,1131964,1513,340380,1473857,577026,576856,12516,6968,5547,1557489,13714,686887
15-06-2012,1135322,1467,332419,1469209,574875,574198,9098,3550,5547,1578487,13714,706965
22-06-2012,1128907,1419,337977,1468303,572033,571685,13031,7602,5429,1605883,13714,736358
29-06-2012,1117650,1899,343459,1463008,567561,567221,11338,7147,4190,1595768,13904,725562
06-07-2012,1120976,3989,309572,1434537,522510,521981,22480,17460,5019,1560618,13904,684975
13-07-2012,1123290,3902,337625,1464817,559404,559079,20507,15488,5019,1566179,13904,695177
20-07-2012,1113299,3951,363092,1480342,572241,571633,24427,19399,5028,1556275,13904,686505
27-07-2012,1102264,2576,341709,1446549,547147,546396,15812,11046,4767,1570083,14052,700546
03-08-2012,1104295,2634,334198,1441127,544517,544367,13113,8085,5028,1588916,14052,719471
10-08-2012,1114600,2562,342454,1459617,550007,549852,12828,7812,5017,1569659,14052,686930
17-08-2012,1118084,1707,348574,1468365,559339,560087,12093,7076,5017,1577472,14052,694591
24-08-2012,1118655,1987,329271,1449913,539926,539956,11356,6911,4445,1575966,14216,691552
31-08-2012,1103763,1682,349062,1454507,546459,545685,10934,6489,4445,1586046,14216,703148
07-09-2012,1110588,1472,335280,1447339,542601,542169,7610,3753,3857,1589608,14216,706696
14-09-2012,1112806,1545,367249,1481600,575489,573915,10415,6296,4120,1581711,14216,700232
21-09-2012,1109856,1666,336633,1448155,536204,535619,20211,16595,3616,1557544,14371,680176
28-09-2012,1095822,4852,361880,1462553,549710,549202,22253,18977,3275,1522292,14371,646073
05-10-2012,1098810,1832,285946,1386588,483277,482821,7110,4797,2313,1495297,14371,613468
12-10-2012,1106310,1456,314344,1422110,510918,509341,19724,17468,2256,1522730,14371,645633
19-10-2012,1109819,1602,350765,1462186,555194,554447,18779,16608,2171,1551155,14524,677466
26-10-2012,1117138,1512,330894,1449544,542343,541268,21005,18835,2171,1549335,14524,677664
02-11-2012,1113056,1735,314063,1428855,519926,519513,21267,18518,2749,1549144,14524,676006
09-11-2012,1135731,1495,308864,1446090,541863,540757,21462,17924,3538,1562638,14524,694397
16-11-2012,1160026,1345,317068,1478438,577798,575453,22016,17838,4178,1579454,14524,715355
23-11-2012,1146094,4114,323109,1473316,566628,565831,29447,23987,5460,1596624,14524,733907
30-11-2012,1140564,2375,298518,1441457,535840,535687,28427,22973,5454,1573644,14723,711176
07-12-2012,1149148,2800,322195,1474144,565146,564000,30064,25160,4904,1567846,14723,703635
14-12-2012,1151792,2488,342774,1497054,597243,595976,21459,17105,4355,1581492,14723,717863
21-12-2012,1148547,1622,320182,1470351,560440,559742,32502,28795,3707,1598903,14723,736217
28-12-2012,1142107,1500,314397,1458004,550467,549799,28267,24537,3730,1592982,14845,728557
04-01-2013,1142239,1453,302046,1445739,537630,537673,27568,23424,4144,1585225,14845,719531
11-01-2013,1155467,1402,315254,1472123,567815,567802,25956,21812,4144,1583813,14845,720307
18-01-2013,1161568,1438,316611,1479617,574272,574159,27986,24511,3475,1564741,14845,702227
25-01-2013,1158645,1500,329230,1489375,585123,585028,27856,24797,3060,1562675,14992,701272
01-02-2013,1154551,1569,338528,1494648,594307,594350,24353,22701,1653,1541411,14992,680416
08-02-2013,1169893,1527,301186,1472606,575938,575779,19758,17829,1928,1544833,14992,682915
15-02-2013,1177289,1424,304355,1483068,581371,580814,26683,24755,1928,1550422,14992,690400
22-02-2013,1178537,1508,313147,1493192,593080,592443,27427,25499,1928,1553376,15131,695822
01-03-2013,1166920,1630,314125,1482674,583555,582458,22825,20760,2065,1549041,15131,687879
08-03-2013,1181575,1446,293039,1476060,579571,579402,19768,17703,2065,1546669,15131,685078
15-03-2013,1187943,1501,328356,1517800,619413,618972,20140,17566,2574,1551068,15131,687952
22-03-2013,1187892,1508,299622,1489023,585421,585426,24566,21721,2844,1561379,15340,697683
29-03-2013,1192557,3628,362039,1558224,636746,636418,45066,42008,3058,1559706,15340,698634
31-03-2013,1190975,3240,320671,1514886,590578,590499,43412,40354,3058,1558059,15340,692502
05-04-2013,1198280,2973,268954,1470206,557819,556080,24955,22787,2168,1580669,15340,708577
12-04-2013,1220826,1869,322143,1544838,630014,629944,27981,25860,2121,1576727,15340,705224
19-04-2013,1225850,2065,327505,1555420,644005,644347,21603,19483,2121,1563195,15497,688881
26-04-2013,1226168,2040,329350,1557559,633419,632976,32183,30385,1798,1578919,15497,702460
03-05-2013,1229818,2102,306702,1538622,626768,626810,30076,28601,1475,1558067,15497,691786
10-05-2013,1243925,2033,312423,1558381,648532,648454,23484,21496,1988,1570592,15497,699724
17-05-2013,1245877,2007,333690,1581575,673962,673589,22096,20108,1988,1570447,15497,700428
24-05-2013,1237609,2048,308712,1548369,632040,632157,28729,26666,2063,1589887,15497,717785
31-05-2013,1228445,4357,307426,1540228,645613,645290,18830,16422,2408,1594954,15718,734886
07-06-2013,1238519,2669,304765,1545953,638009,637489,32302,30152,2150,1610953,15718,751030
14-06-2013,1241894,2062,339193,1583150,688299,685892,20934,18808,2126,1642527,15718,784328
21-06-2013,1232778,2035,316408,1551221,655187,654678,20667,18541,2126,1668963,15718,809313
28-06-2013,1217664,2399,346591,1566653,678459,677257,24413,22289,2124,1659183,15886,811287
05-07-2013,1220267,2074,299932,1522274,641730,641502,17948,16493,1455,1656107,15886,809397
12-07-2013,1227093,6419,324268,1557780,685712,685310,22711,21256,1455,1645084,15886,811613
19-07-2013,1218975,2697,310845,1532517,669648,669318,28509,25463,3047,1636551,15886,818077
26-07-2013,1206304,2184,332853,1541341,670096,669756,38135,34625,3510,1619709,16039,802638
